"","Module","Trait","Correlation","Pval","FDR"
"209","MEgreenyellow","GCS",-0.0116391237594985,0.917861825926694,0.971853698040029
"210","MEgreenyellow","APOE2",-0.0289413874956409,0.797581979127288,0.965379293761985
"211","MEgreenyellow","APOE3",-0.0990751399615545,0.378867517379762,0.958844093554672
"212","MEgreenyellow","APOE4",0.115706101847368,0.303654010102731,0.910962030308194
"213","MEgreenyellow","PMI_hrs",-0.0273497090494505,0.808495896872616,0.914654483330289
"214","MEgreenyellow","CERAD",0.0858579828918401,0.445988138342039,0.919115574933375
"215","MEgreenyellow","BRAAK",-0.0375494585918432,0.739277777301662,0.946679378401562
"216","MEgreenyellow","NIAREAGAN",0.0391368917094958,0.728673738953829,0.952213388865865
"217","MEcyan","p75",-0.10089768490573,0.370116525269698,0.819951169758296
"218","MEcyan","TOC1",0.10089768490573,0.370116525269698,0.819951169758296
"219","MEcyan","age_death",-0.0728402019660185,0.518129249916093,0.794532456874472
"220","MEcyan","Male",0.037480802433012,0.739737515154166,0.915580913096101
"221","MEcyan","Female",-0.037480802433012,0.739737515154166,0.915580913096101
"222","MEcyan","educ_yrs",0.0240623325253944,0.831150788048501,0.942299324605711
"223","MEcyan","NCI",-0.0628383354306331,0.577318316408221,0.981458247607914
"224","MEcyan","MCI",-0.0431809758266185,0.701892521530715,0.898628929275848
"225","MEcyan","AD",0.101571253831712,0.366913797131517,0.77984685054651
"226","MEcyan","MMSE",0.0223782068334856,0.842811693739553,0.980847599216258
"227","MEcyan","GCS",-0.0193982901151343,0.863526193804972,0.971466968030593
"228","MEcyan","APOE2",0.0110514093086092,0.921996039313586,0.965379293761985
"229","MEcyan","APOE3",-0.129028315826442,0.250963609242956,0.958844093554672
"230","MEcyan","APOE4",0.129681868590252,0.248550839397575,0.910962030308194
"231","MEcyan","PMI_hrs",-0.0387316420306198,0.731376057631428,0.914654483330289
"232","MEcyan","CERAD",0.0519660894983374,0.644987289265016,0.919115574933375
"233","MEcyan","BRAAK",-0.0374061188454249,0.740237717684679,0.946679378401562
"234","MEcyan","NIAREAGAN",0.0152999913861617,0.892163131048797,0.952213388865865
"235","MEred","p75",-0.295048528452655,0.00749587636855682,0.0449752582113409
"236","MEred","TOC1",0.295048528452655,0.00749587636855682,0.0449752582113409
"237","MEred","age_death",-0.0545788975367132,0.628431106613439,0.794532456874472
"238","MEred","Male",0.0480913965318316,0.669858572205626,0.915580913096101
"239","MEred","Female",-0.0480913965318316,0.669858572205626,0.915580913096101
"240","MEred","educ_yrs",-0.0933401687984853,0.407208442218735,0.820716257513564
"241","MEred","NCI",-0.167444198504125,0.135137561357318,0.981458247607914
"242","MEred","MCI",-0.101582231405514,0.36686174101,0.898628929275848
"243","MEred","AD",0.257494800699728,0.0203022920437274,0.365441256787093
"244","MEred","MMSE",-0.0915845291770473,0.416126117156091,0.980847599216258
"245","MEred","GCS",-0.147627459561384,0.188437475542468,0.515664591102417
"246","MEred","APOE2",-0.0632012127079008,0.575117407638953,0.965379293761985
"247","MEred","APOE3",-0.110016555667114,0.328207265706154,0.958844093554672
"248","MEred","APOE4",0.141870923909885,0.206447604260596,0.910962030308194
"249","MEred","PMI_hrs",-0.0139554178614269,0.901590344521635,0.914654483330289
"250","MEred","CERAD",0.0365945523771071,0.74568019119655,0.919115574933375
"251","MEred","BRAAK",0.0200967523403271,0.858662122353334,0.946679378401562
"252","MEred","NIAREAGAN",0.0573003772633331,0.611379219551916,0.952213388865865
"253","MEyellow","p75",0.366836141381732,0.000755904187677115,0.00680313768909403
"254","MEyellow","TOC1",-0.366836141381732,0.000755904187677115,0.00680313768909403
"255","MEyellow","age_death",-0.143372257535548,0.201636501909583,0.556997756298548
"256","MEyellow","Male",-0.0421943991252147,0.708394009106828,0.915580913096101
"257","MEyellow","Female",0.0421943991252147,0.708394009106828,0.915580913096101
"258","MEyellow","educ_yrs",-0.0769754763229555,0.494590429629053,0.820716257513564
"259","MEyellow","NCI",-0.0272492440860457,0.809186022640071,0.981458247607914
"260","MEyellow","MCI",-0.0748602317046709,0.506560303063271,0.898628929275848
"261","MEyellow","AD",0.0988438736947652,0.379986807143635,0.77984685054651
"262","MEyellow","MMSE",-0.202381974606627,0.0699974729413371,0.980847599216258
"263","MEyellow","GCS",-0.181960397254393,0.1039935632351,0.515664591102417
"264","MEyellow","APOE2",-0.0354264181838827,0.753535695301535,0.965379293761985
"265","MEyellow","APOE3",0.0335168050520397,0.766431237169839,0.967935844245649
"266","MEyellow","APOE4",-0.0196568450482404,0.861725022919339,0.912414730149888
"267","MEyellow","PMI_hrs",0.0237362981174579,0.833405492294443,0.914654483330289
"268","MEyellow","CERAD",-0.0179595692081064,0.873561214100902,0.924947167871543
"269","MEyellow","BRAAK",0.0808830162463495,0.472874383037255,0.946679378401562
"270","MEyellow","NIAREAGAN",-0.0203971882136982,0.856571501764385,0.952213388865865
"271","MEgrey60","p75",0.122661165138923,0.275309115070204,0.819951169758296
"272","MEgrey60","TOC1",-0.122661165138923,0.275309115070204,0.819951169758296
"273","MEgrey60","age_death",-0.214736984937054,0.0542147885117309,0.427446886985269
"274","MEgrey60","Male",0.125965626334193,0.262483677102643,0.915580913096101
"275","MEgrey60","Female",-0.125965626334193,0.262483677102643,0.915580913096101
"276","MEgrey60","educ_yrs",0.0360422836833121,0.74939092835454,0.942299324605711
"277","MEgrey60","NCI",0.0466224801608275,0.679382879267116,0.981458247607914
"278","MEgrey60","MCI",-0.0399975206380184,0.722945817488887,0.898628929275848
"279","MEgrey60","AD",-0.00504012682075971,0.96438120734458,0.96438120734458
"280","MEgrey60","MMSE",-0.0872988230199534,0.438364029432728,0.980847599216258
"281","MEgrey60","GCS",-0.0640378590024297,0.570057896835741,0.789310934080257
"282","MEgrey60","APOE2",-0.0398800016676222,0.723727076920156,0.965379293761985
"283","MEgrey60","APOE3",0.0774670365456235,0.4918301571518,0.958844093554672
"284","MEgrey60","APOE4",-0.0635326846962779,0.573110383846404,0.912414730149888
"285","MEgrey60","PMI_hrs",0.0295302938352591,0.793553626198363,0.914654483330289
"286","MEgrey60","CERAD",-0.050641692751284,0.65344646394859,0.919115574933375
"287","MEgrey60","BRAAK",0.0498525147025752,0.658508033092391,0.946679378401562
"288","MEgrey60","NIAREAGAN",-0.060975330402006,0.588678538023384,0.952213388865865
"289","MEtan","p75",0.0251716369621183,0.823489657224482,0.852818682426748
"290","MEtan","TOC1",-0.0251716369621183,0.823489657224482,0.852818682426748
"291","MEtan","age_death",-0.201507988722125,0.0712411478308781,0.427446886985269
"292","MEtan","Male",0.180460043906201,0.106926568269253,0.915580913096101
"293","MEtan","Female",-0.180460043906201,0.106926568269253,0.915580913096101
"294","MEtan","educ_yrs",-0.000683981933608388,0.995164723459913,0.995164723459913
"295","MEtan","NCI",-0.00306034345787916,0.978367970486867,0.981458247607914
"296","MEtan","MCI",-0.0311652395124414,0.7823985422438,0.898628929275848
"297","MEtan","AD",0.033316896812601,0.767784954968724,0.936926876555345
"298","MEtan","MMSE",0.0472907171545432,0.675043760459917,0.980847599216258
"299","MEtan","GCS",-0.00098022432301016,0.993070539654686,0.993070539654686
"300","MEtan","APOE2",-0.0852917046595269,0.449004715896764,0.965379293761985
"301","MEtan","APOE3",0.0325935993968481,0.7726886852406,0.967935844245649
"302","MEtan","APOE4",0.00279434917720244,0.980247755622927,0.980247755622927
"303","MEtan","PMI_hrs",0.0120952880086603,0.914654483330289,0.914654483330289
"304","MEtan","CERAD",-0.0365843477334997,0.745748704854197,0.919115574933375
"305","MEtan","BRAAK",-0.043316126562032,0.70100353729524,0.946679378401562
"306","MEtan","NIAREAGAN",-0.0442593137938053,0.69481074677248,0.952213388865865
"307","MEgrey","p75",-0.538178236702634,2.19800976412825e-07,3.95641757543085e-06
"308","MEgrey","TOC1",0.538178236702634,2.19800976412825e-07,3.95641757543085e-06
"309","MEgrey","age_death",0.100634501792824,0.371372539106246,0.794532456874472
"310","MEgrey","Male",-0.0872748549291765,0.43849025078637,0.915580913096101
"311","MEgrey","Female",0.0872748549291765,0.43849025078637,0.915580913096101
"312","MEgrey","educ_yrs",0.0757426337246249,0.501548824036067,0.820716257513564
"313","MEgrey","NCI",0.100803568231976,0.370565389603626,0.981458247607914
"314","MEgrey","MCI",0.00323502765108927,0.977133538418355,0.977133538418355
"315","MEgrey","AD",-0.0984756228692637,0.381773188537646,0.77984685054651
"316","MEgrey","MMSE",0.087165738340087,0.439065142191072,0.980847599216258
"317","MEgrey","GCS",0.15189779811512,0.175831603240518,0.515664591102417
"318","MEgrey","APOE2",0.225075580898306,0.0433630193665922,0.552016388189075
"319","MEgrey","APOE3",-0.060768294737627,0.589947224129273,0.958844093554672
"320","MEgrey","APOE4",-0.0336762636414765,0.765351933081306,0.912414730149888
"321","MEgrey","PMI_hrs",-0.0541648775393305,0.631042647601051,0.914654483330289
"322","MEgrey","CERAD",0.0357229710801226,0.751539020303702,0.919115574933375
"323","MEgrey","BRAAK",0.0979035669276081,0.384558228805373,0.946679378401562
"324","MEgrey","NIAREAGAN",0.014280093836381,0.899312645039984,0.952213388865865
